 match,player1,player2,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,RA,RB,consecutive_victories_p1,consecutive_victories_p2,server_p1,server_p2,turnning_point,RA,RB
WTA 华欣站 女单,施耐德,朱琳,1,1,1,0,0,0,0,15,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,130,0,0,1,0,0,100,130
,108,45,1,1,2,0,0,0,0,15,15,1,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6890639,121.3109361,0,0,1,0,0,108.6890639,121.3109361
,,,1,1,3,0,0,0,0,30,15,1,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9795654,129.0204346,0,0,1,0,0,100.9795654,129.0204346
,,,1,1,4,0,0,0,0,40,15,1,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.623832,120.376168,1,-1,1,0,0,109.623832,120.376168
,,,1,2,5,0,0,1,0,0,15,2,2,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1188374,103.8811626,0,0,0,1,0,126.1188374,103.8811626
,,,1,2,6,0,0,1,0,15,15,2,1,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6074941,112.3925059,0,0,0,1,0,117.6074941,112.3925059
,,,1,2,7,0,0,1,0,30,15,2,1,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.4874236,104.5125764,1,-1,0,1,0,125.4874236,104.5125764
,,,1,2,8,0,0,1,0,30,30,2,2,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0050457,96.99495427,0,0,0,1,0,133.0050457,96.99495427
,,,1,2,9,0,0,1,0,40,30,2,1,6,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1788391,105.8211609,0,0,0,1,0,124.1788391,105.8211609
,,,1,3,10,0,0,2,0,0,15,1,2,6,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,139.3342226,90.66577737,0,0,1,0,0,139.3342226,90.66577737
,,,1,3,11,0,0,2,0,15,15,1,1,7,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2208629,99.77913708,0,0,1,0,0,130.2208629,99.77913708
,,,1,3,12,0,0,2,0,30,15,1,1,8,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,137.5217045,92.4782955,1,-1,1,0,0,137.5217045,92.4782955
,,,1,3,13,0,0,2,0,30,30,1,2,8,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4903137,85.50968627,0,0,1,0,0,144.4903137,85.50968627
,,,1,3,14,0,0,2,0,30,40,1,2,8,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.1451318,94.85486816,-1,1,1,0,0,135.1451318,94.85486816
,,,1,3,15,0,0,2,0,40,40,1,1,9,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.2215506,103.7784494,0,0,1,0,0,126.2215506,103.7784494
,,,1,3,16,0,0,2,0,40,AD,1,1,10,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7054967,96.29450335,1,-1,1,0,0,133.7054967,96.29450335
,,,1,4,17,0,0,2,1,15,0,2,1,11,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,115.9892845,114.0107155,2,-2,0,1,0,115.9892845,114.0107155
,,,1,4,18,0,0,2,1,30,0,2,1,12,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.9437267,106.0562733,3,-3,0,1,0,123.9437267,106.0562733
,,,1,4,19,0,0,2,1,30,15,2,2,12,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,131.5322164,98.46778359,0,0,0,1,0,131.5322164,98.46778359
,,,1,4,20,0,0,2,1,30,30,2,2,12,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,122.7731698,107.2268302,-1,1,0,1,0,122.7731698,107.2268302
,,,1,4,21,0,0,2,1,30,40,2,2,12,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4154408,115.5845592,-2,2,0,1,0,114.4154408,115.5845592
,,,1,5,22,0,0,2,2,15,0,1,1,13,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46928053,131.5307195,0,0,1,0,0,98.46928053,131.5307195
,,,1,5,23,0,0,2,2,30,0,1,1,14,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2282588,122.7717412,1,-1,1,0,0,107.2282588,122.7717412
,,,1,5,24,0,0,2,2,40,0,1,1,15,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5859221,114.4140779,2,-2,1,0,0,115.5859221,114.4140779
,,,1,5,25,0,0,2,2,40,15,1,2,15,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.5589395,106.4410605,0,0,1,0,0,123.5589395,106.4410605
,,,1,6,26,0,0,3,2,0,15,2,2,15,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7712693,91.22873071,-1,1,0,1,0,138.7712693,91.22873071
,,,1,6,27,0,0,3,2,0,30,2,2,15,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,129.6833438,100.3166562,-2,2,0,1,0,129.6833438,100.3166562
,,,1,6,28,0,0,3,2,15,30,2,1,16,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0087566,108.9912434,0,0,0,1,0,121.0087566,108.9912434
,,,1,6,29,0,0,3,2,15,40,2,2,16,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7321534,101.2678466,0,0,0,1,0,128.7321534,101.2678466
,,,1,6,30,0,0,3,2,30,40,2,1,17,13,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1010783,109.8989217,0,0,0,1,0,120.1010783,109.8989217
,,,1,7,31,0,0,3,3,15,0,1,1,18,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6313866,126.3686134,1,-1,1,0,1,103.6313866,126.3686134
,,,1,7,32,0,0,3,3,15,15,1,2,18,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1541845,117.8458155,0,0,1,0,0,112.1541845,117.8458155
,,,1,7,33,0,0,3,3,30,15,1,1,19,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2852274,125.7147726,0,0,1,0,2,104.2852274,125.7147726
,,,1,7,34,0,0,3,3,30,30,1,2,19,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.7780361,117.2219639,0,0,1,0,0,112.7780361,117.2219639
,,,1,7,35,0,0,3,3,30,40,1,2,19,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8803558,125.1196442,-1,1,1,0,0,104.8803558,125.1196442
,,,1,7,36,0,0,3,3,40,40,1,1,20,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,97.34585617,132.6541438,0,0,1,0,3,97.34585617,132.6541438
,,,1,7,37,0,0,3,3,40,AD,1,2,20,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1560722,123.8439278,0,0,1,0,0,106.1560722,123.8439278
,,,1,7,38,0,0,3,3,40,40,1,1,21,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98.56299865,131.4370013,0,0,1,0,4,98.56299865,131.4370013
,,,1,7,39,0,0,3,3,40,AD,1,2,21,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3176997,122.6823003,0,0,1,0,0,107.3176997,122.6823003
,,,1,7,40,0,0,3,3,40,40,1,1,22,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.67125222,130.3287478,0,0,1,0,5,99.67125222,130.3287478
,,,1,7,41,0,0,3,3,AD,40,1,1,23,18,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3753407,121.6246593,1,-1,1,0,6,108.3753407,121.6246593
,,,1,8,42,0,0,4,3,0,15,2,2,23,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,124.9851988,105.0148012,0,0,0,1,0,124.9851988,105.0148012
,,,1,8,43,0,0,4,3,0,30,2,2,23,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5258691,113.4741309,-1,1,0,1,0,116.5258691,113.4741309
,,,1,8,44,0,0,4,3,0,40,2,2,23,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4556021,121.5443979,-2,2,0,1,0,108.4556021,121.5443979
,,,1,8,45,0,0,4,3,15,40,2,1,24,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7568402,129.2431598,0,0,0,1,0,100.7568402,129.2431598
,,,1,8,46,0,0,4,3,30,40,2,1,25,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4112961,120.5887039,1,-1,0,1,0,109.4112961,120.5887039
,,,1,8,47,0,0,4,3,40,40,2,1,26,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6685767,112.3314233,2,-2,0,1,0,117.6685767,112.3314233
,,,1,8,48,0,0,4,3,AD,40,2,1,27,21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,125.5456939,104.4543061,3,-3,0,1,0,125.5456939,104.4543061
,,,1,9,49,0,0,5,3,15,0,1,1,28,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0905395,81.90946051,4,-4,1,0,0,148.0905395,81.90946051
,,,1,9,50,0,0,5,3,30,0,1,1,29,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,154.5848311,75.41516886,5,-5,1,0,0,154.5848311,75.41516886
,,,1,9,51,0,0,5,3,40,0,1,1,30,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.7927921,69.20720787,6,-6,1,0,0,160.7927921,69.20720787
,,,1,9,52,0,0,5,3,40,15,1,2,30,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7314814,63.26851861,0,0,1,0,0,166.7314814,63.26851861
,,,1,9,53,0,0,5,3,40,30,1,2,30,23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,156.417168,73.58283202,-1,1,1,0,0,156.417168,73.58283202
,,,2,1,54,1,0,6,3,0,15,1,2,30,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,168.6731776,61.32682244,-2,2,1,0,4,168.6731776,61.32682244
,,,2,1,55,1,0,6,3,0,30,1,2,30,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158.2771965,71.72280352,-3,3,1,0,5,158.2771965,71.72280352
,,,2,1,56,1,0,6,3,0,40,1,2,30,26,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3244395,81.67556054,-4,4,1,0,6,148.3244395,81.67556054
,,,2,2,57,1,0,6,4,0,15,2,2,30,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2922482,100.7077518,-5,5,0,1,0,129.2922482,100.7077518
,,,2,2,58,1,0,6,4,0,30,2,2,30,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120.6355469,109.3644531,-6,6,0,1,0,120.6355469,109.3644531
,,,2,2,59,1,0,6,4,0,40,2,2,30,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3761113,117.6238887,-7,7,0,1,0,112.3761113,117.6238887
,,,2,2,60,1,0,6,4,15,40,2,1,31,29,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4969367,125.5030633,0,0,0,1,0,104.4969367,125.5030633
,,,2,3,61,1,0,6,5,15,0,1,2,31,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.46312757,140.5368724,0,0,1,0,0,89.46312757,140.5368724
,,,2,3,62,1,0,6,5,30,0,1,1,32,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.63074551,147.3692545,0,0,1,0,0,82.63074551,147.3692545
,,,2,3,63,1,0,6,5,30,15,1,1,33,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.10438926,137.8956107,1,-1,1,0,0,92.10438926,137.8956107
,,,2,3,64,1,0,6,5,30,30,1,1,34,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1527081,128.8472919,2,-2,1,0,0,101.1527081,128.8472919
,,,2,3,65,1,0,6,5,30,40,1,1,35,30,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7890523,120.2109477,3,-3,1,0,0,109.7890523,120.2109477
,,,2,4,66,1,0,6,6,0,15,2,2,35,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,94.26885441,135.7311456,0,0,0,1,0,94.26885441,135.7311456
,,,2,4,67,1,0,6,6,15,15,2,1,36,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,87.21905246,142.7809475,0,0,0,1,0,87.21905246,142.7809475
,,,2,4,68,1,0,6,6,15,30,2,2,36,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.48761651,133.5123835,0,0,0,1,0,96.48761651,133.5123835
,,,2,4,69,1,0,6,6,15,40,2,2,36,33,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.33693069,140.6630693,-1,1,0,1,0,89.33693069,140.6630693
,,,2,5,70,1,0,6,7,15,0,1,2,36,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.68354092,154.3164591,-2,2,1,0,0,75.68354092,154.3164591
,,,2,5,71,1,0,6,7,30,0,1,1,37,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,69.46383704,160.536163,0,0,1,0,0,69.46383704,160.536163
,,,2,5,72,1,0,6,7,40,0,1,1,38,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,79.51411,150.48589,1,-1,1,0,0,79.51411,150.48589
,,,2,5,73,1,0,6,7,40,15,1,2,38,35,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.12593853,140.8740615,0,0,1,0,0,89.12593853,140.8740615
,,,2,6,74,1,0,7,7,0,15,2,2,38,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4915605,122.5084395,-1,1,0,1,0,107.4915605,122.5084395
,,,2,6,75,1,0,7,7,0,30,2,2,38,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.83712172,130.1628783,-2,2,0,1,0,99.83712172,130.1628783
,,,2,6,76,1,0,7,7,0,40,2,2,38,38,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.53363016,137.4663698,-3,3,0,1,0,92.53363016,137.4663698
,,,2,7,77,1,0,7,8,0,15,1,2,38,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,78.59139971,151.4086003,-4,4,1,0,0,78.59139971,151.4086003
,,,2,7,78,1,0,7,8,15,15,1,1,39,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,72.24395174,157.7560483,0,0,1,0,0,72.24395174,157.7560483
,,,2,7,79,1,0,7,8,30,15,1,1,40,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.17412248,147.8258775,1,-1,1,0,0,82.17412248,147.8258775
,,,2,7,80,1,0,7,8,40,15,1,1,41,39,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66807109,138.3319289,2,-2,1,0,0,91.66807109,138.3319289
,,,2,8,81,1,0,8,8,0,15,2,2,41,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8041921,120.1958079,0,0,0,1,0,109.8041921,120.1958079
,,,2,8,82,1,0,8,8,0,30,2,2,41,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0433966,127.9566034,-1,1,0,1,0,102.0433966,127.9566034
,,,2,8,83,1,0,8,8,15,30,2,1,42,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,94.63896625,135.3610337,0,0,0,1,0,94.63896625,135.3610337
,,,2,8,84,1,0,8,8,15,40,2,2,42,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5723562,126.4276438,0,0,0,1,0,103.5723562,126.4276438
,,,2,8,85,1,0,8,8,30,40,2,1,43,42,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.09786088,133.9021391,0,0,0,1,0,96.09786088,133.9021391
,,,3,1,117,1,1,8,9,15,0,2,1,44,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,81.83197395,148.1680261,1,-1,0,1,4,81.83197395,148.1680261
,,,3,1,118,1,1,8,9,30,0,2,1,45,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,91.34112399,138.658876,2,-2,0,1,5,91.34112399,138.658876
,,,3,1,119,1,1,8,9,30,15,2,2,45,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4239689,129.5760311,0,0,0,1,0,100.4239689,129.5760311
,,,3,1,120,1,1,8,9,30,30,2,2,45,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,93.09364905,136.9063509,-1,1,0,1,0,93.09364905,136.9063509
,,,3,1,121,1,1,9,9,40,30,2,1,46,44,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,86.09716015,143.9028398,0,0,0,1,6,86.09716015,143.9028398
,,,3,2,122,1,1,9,9,15,0,1,1,47,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7349157,125.2650843,1,-1,1,0,0,104.7349157,125.2650843
,,,3,2,123,1,1,9,9,30,0,1,1,48,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,113.2070909,116.7929091,2,-2,1,0,0,113.2070909,116.7929091
,,,3,2,124,1,1,9,9,30,15,1,2,48,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2896545,108.7103455,0,0,1,0,0,121.2896545,108.7103455
,,,3,2,125,1,1,10,9,40,15,1,1,49,45,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0001317,116.9998683,0,0,1,0,0,113.0001317,116.9998683
,,,3,3,126,1,1,10,9,0,15,2,2,49,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1843182,100.8156818,0,0,0,1,0,129.1843182,100.8156818
,,,3,3,127,1,1,10,9,15,15,2,1,50,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120.532554,109.467446,0,0,0,1,0,120.532554,109.467446
,,,3,3,128,1,1,10,9,30,15,2,1,51,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,128.2778566,101.7221434,1,-1,0,1,0,128.2778566,101.7221434
,,,3,3,129,1,1,10,9,30,30,2,2,51,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.6675767,94.33242334,0,0,0,1,0,135.6675767,94.33242334
,,,3,3,130,1,1,11,9,40,30,2,1,52,47,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.7202649,103.2797351,0,0,0,1,0,126.7202649,103.2797351
,,,3,4,131,1,1,11,9,15,0,1,1,53,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,141.6424235,88.3575765,1,-1,1,0,0,141.6424235,88.3575765
,,,3,4,132,1,1,11,9,30,0,1,1,54,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.4250245,81.57497549,2,-2,1,0,0,148.4250245,81.57497549
,,,3,4,133,1,1,11,9,40,0,1,1,55,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,154.9044636,75.09553639,3,-3,1,0,0,154.9044636,75.09553639
,,,3,4,134,1,1,11,9,40,15,1,2,55,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0984494,68.90155064,0,0,1,0,0,161.0984494,68.90155064
,,,3,4,135,1,1,12,9,40,30,1,2,55,49,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0240031,78.97599693,-1,1,1,0,0,151.0240031,78.97599693
,,,3,5,136,1,1,12,9,0,15,2,2,55,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,163.7528257,66.24717432,-2,2,0,1,0,163.7528257,66.24717432
,,,3,5,137,1,1,12,9,15,15,2,1,56,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5648189,76.43518112,0,0,0,1,0,153.5648189,76.43518112
,,,3,5,138,1,1,12,9,15,30,2,2,56,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159.8174544,70.18254562,0,0,0,1,0,159.8174544,70.18254562
,,,3,5,139,1,1,12,9,30,30,2,1,57,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7981379,80.20186209,0,0,0,1,0,149.7981379,80.20186209
,,,3,5,140,1,1,12,10,30,40,2,2,57,52,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,156.2167199,73.78328005,0,0,0,1,0,156.2167199,73.78328005
,,,3,6,141,1,1,12,10,0,15,1,2,57,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4901853,93.50981472,-1,1,1,0,0,136.4901853,93.50981472
,,,3,6,142,1,1,12,10,15,15,1,1,58,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5055434,102.4944566,0,0,1,0,0,127.5055434,102.4944566
,,,3,6,143,1,1,12,10,30,15,1,1,59,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,134.9306346,95.0693654,1,-1,1,0,0,134.9306346,95.0693654
,,,3,6,144,1,1,13,10,40,15,1,1,60,53,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,142.016801,87.98319898,2,-2,1,0,0,142.016801,87.98319898
,,,3,7,145,1,1,13,10,15,0,2,1,61,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5483312,74.45166882,3,-3,0,1,0,155.5483312,74.45166882
,,,3,7,146,1,1,13,10,30,0,2,1,62,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.7142005,68.28579948,4,-4,0,1,0,161.7142005,68.28579948
,,,3,7,147,1,1,14,10,40,0,2,1,63,53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,167.6133289,62.38667109,5,-5,0,1,0,167.6133289,62.38667109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5589175,45.44108251,0,0,0,1,0,184.5589175,45.44108251
